Datum;Tijd;Parameter;Locatie;Bepalingsgrenswaarde;Meting;Eenheid;Bemonsteringshoogte;Referentievlak;
14-4-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
28-4-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
12-5-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0400;mg/l;-100;WATSGL;
26-5-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
9-6-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
23-6-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0400;mg/l;-100;WATSGL;
7-7-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
21-7-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
4-8-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
18-8-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
1-9-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
15-9-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0600;mg/l;-100;WATSGL;
29-9-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
13-10-2004;12:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
27-10-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
10-11-2004;12:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
24-11-2004;12:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1100;mg/l;-100;WATSGL;
8-12-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0600;mg/l;-100;WATSGL;
22-12-2004;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1100;mg/l;-100;WATSGL;
5-1-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0700;mg/l;-100;WATSGL;
19-1-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1500;mg/l;-100;WATSGL;
2-2-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1700;mg/l;-100;WATSGL;
16-2-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1300;mg/l;-100;WATSGL;
2-3-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1600;mg/l;-100;WATSGL;
16-3-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0900;mg/l;-100;WATSGL;
30-3-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0800;mg/l;-100;WATSGL;
13-4-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0400;mg/l;-100;WATSGL;
27-4-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
11-5-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
25-5-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
8-6-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
22-6-2005;12:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
6-7-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0400;mg/l;-100;WATSGL;
20-7-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
3-8-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
17-8-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
31-8-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
14-9-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
28-9-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
12-10-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
26-10-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0600;mg/l;-100;WATSGL;
9-11-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
22-11-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
7-12-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1200;mg/l;-100;WATSGL;
21-12-2005;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1600;mg/l;-100;WATSGL;
4-1-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1200;mg/l;-100;WATSGL;
18-1-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1800;mg/l;-100;WATSGL;
1-2-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,2100;mg/l;-100;WATSGL;
15-2-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,2000;mg/l;-100;WATSGL;
1-3-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,2600;mg/l;-100;WATSGL;
15-3-2006;12:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1500;mg/l;-100;WATSGL;
29-3-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1100;mg/l;-100;WATSGL;
12-4-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0700;mg/l;-100;WATSGL;
26-4-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
10-5-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
23-5-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0600;mg/l;-100;WATSGL;
7-6-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
21-6-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0400;mg/l;-100;WATSGL;
5-7-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
19-7-2006;08:30:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
2-8-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0400;mg/l;-100;WATSGL;
16-8-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0800;mg/l;-100;WATSGL;
30-8-2006;12:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
13-9-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
27-9-2006;12:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
11-10-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
25-10-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0600;mg/l;-100;WATSGL;
8-11-2006;12:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
22-11-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
6-12-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0700;mg/l;-100;WATSGL;
20-12-2006;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
3-1-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
17-1-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
31-1-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0600;mg/l;-100;WATSGL;
14-2-2007;12:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1200;mg/l;-100;WATSGL;
28-2-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
14-3-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
28-3-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
11-4-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
25-4-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
9-5-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1700;mg/l;-100;WATSGL;
23-5-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
6-6-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
20-6-2007;09:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
4-7-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
18-7-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
1-8-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
15-8-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0900;mg/l;-100;WATSGL;
29-8-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
12-9-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
26-9-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
10-10-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
24-10-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
7-11-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0400;mg/l;-100;WATSGL;
21-11-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0600;mg/l;-100;WATSGL;
5-12-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0700;mg/l;-100;WATSGL;
19-12-2007;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0500;mg/l;-100;WATSGL;
2-1-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,1300;mg/l;-100;WATSGL;
16-1-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0700;mg/l;-100;WATSGL;
30-1-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0600;mg/l;-100;WATSGL;
13-2-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
27-2-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
12-3-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0400;mg/l;-100;WATSGL;
26-3-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0400;mg/l;-100;WATSGL;
9-4-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
23-4-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
7-5-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
21-5-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
4-6-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
18-6-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
2-7-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
16-7-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
30-7-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;<;0,0100;mg/l;-100;WATSGL;
13-8-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
27-8-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
10-9-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0100;mg/l;-100;WATSGL;
24-9-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0200;mg/l;-100;WATSGL;
8-10-2008;08:00:00;(massa)Concentratie ammonium in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;;0,0300;mg/l;-100;WATSGL;
