Datum;Tijd;Parameter;Locatie;Meting;Eenheid;Bemonsteringshoogte;Referentievlak;
14-4-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,90;mg/l;-100;WATSGL;
28-4-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,28;mg/l;-100;WATSGL;
12-5-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,76;mg/l;-100;WATSGL;
26-5-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,23;mg/l;-100;WATSGL;
9-6-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,71;mg/l;-100;WATSGL;
23-6-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,72;mg/l;-100;WATSGL;
7-7-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,95;mg/l;-100;WATSGL;
21-7-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,90;mg/l;-100;WATSGL;
4-8-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,65;mg/l;-100;WATSGL;
18-8-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,02;mg/l;-100;WATSGL;
1-9-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,13;mg/l;-100;WATSGL;
15-9-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,90;mg/l;-100;WATSGL;
29-9-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,82;mg/l;-100;WATSGL;
13-10-2004;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,35;mg/l;-100;WATSGL;
27-10-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,33;mg/l;-100;WATSGL;
10-11-2004;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,16;mg/l;-100;WATSGL;
24-11-2004;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,48;mg/l;-100;WATSGL;
8-12-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,01;mg/l;-100;WATSGL;
22-12-2004;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,76;mg/l;-100;WATSGL;
5-1-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,10;mg/l;-100;WATSGL;
19-1-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,70;mg/l;-100;WATSGL;
2-2-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,30;mg/l;-100;WATSGL;
16-2-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,80;mg/l;-100;WATSGL;
2-3-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,00;mg/l;-100;WATSGL;
16-3-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,00;mg/l;-100;WATSGL;
30-3-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,00;mg/l;-100;WATSGL;
13-4-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,70;mg/l;-100;WATSGL;
27-4-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,50;mg/l;-100;WATSGL;
11-5-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,73;mg/l;-100;WATSGL;
25-5-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,03;mg/l;-100;WATSGL;
8-6-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,11;mg/l;-100;WATSGL;
22-6-2005;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,86;mg/l;-100;WATSGL;
6-7-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,22;mg/l;-100;WATSGL;
20-7-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,78;mg/l;-100;WATSGL;
3-8-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,04;mg/l;-100;WATSGL;
17-8-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,81;mg/l;-100;WATSGL;
31-8-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,44;mg/l;-100;WATSGL;
14-9-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,69;mg/l;-100;WATSGL;
28-9-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,02;mg/l;-100;WATSGL;
12-10-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,58;mg/l;-100;WATSGL;
26-10-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,56;mg/l;-100;WATSGL;
9-11-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,64;mg/l;-100;WATSGL;
22-11-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,92;mg/l;-100;WATSGL;
7-12-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,07;mg/l;-100;WATSGL;
21-12-2005;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,53;mg/l;-100;WATSGL;
4-1-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,96;mg/l;-100;WATSGL;
18-1-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,10;mg/l;-100;WATSGL;
1-2-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,91;mg/l;-100;WATSGL;
15-2-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,17;mg/l;-100;WATSGL;
1-3-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,41;mg/l;-100;WATSGL;
15-3-2006;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,46;mg/l;-100;WATSGL;
29-3-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,35;mg/l;-100;WATSGL;
12-4-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,65;mg/l;-100;WATSGL;
26-4-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,95;mg/l;-100;WATSGL;
10-5-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,43;mg/l;-100;WATSGL;
23-5-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,00;mg/l;-100;WATSGL;
7-6-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,38;mg/l;-100;WATSGL;
21-6-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,02;mg/l;-100;WATSGL;
5-7-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,66;mg/l;-100;WATSGL;
19-7-2006;08:30:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,73;mg/l;-100;WATSGL;
2-8-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,14;mg/l;-100;WATSGL;
16-8-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,15;mg/l;-100;WATSGL;
30-8-2006;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,14;mg/l;-100;WATSGL;
13-9-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,90;mg/l;-100;WATSGL;
27-9-2006;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,08;mg/l;-100;WATSGL;
11-10-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,38;mg/l;-100;WATSGL;
25-10-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,57;mg/l;-100;WATSGL;
8-11-2006;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,70;mg/l;-100;WATSGL;
22-11-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,13;mg/l;-100;WATSGL;
6-12-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,24;mg/l;-100;WATSGL;
20-12-2006;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,38;mg/l;-100;WATSGL;
3-1-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,38;mg/l;-100;WATSGL;
17-1-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,01;mg/l;-100;WATSGL;
31-1-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,27;mg/l;-100;WATSGL;
14-2-2007;12:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;4,01;mg/l;-100;WATSGL;
28-2-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,60;mg/l;-100;WATSGL;
14-3-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,12;mg/l;-100;WATSGL;
28-3-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,46;mg/l;-100;WATSGL;
11-4-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,70;mg/l;-100;WATSGL;
25-4-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,05;mg/l;-100;WATSGL;
9-5-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,22;mg/l;-100;WATSGL;
23-5-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,25;mg/l;-100;WATSGL;
6-6-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,68;mg/l;-100;WATSGL;
20-6-2007;09:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,85;mg/l;-100;WATSGL;
4-7-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,95;mg/l;-100;WATSGL;
18-7-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,64;mg/l;-100;WATSGL;
1-8-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,99;mg/l;-100;WATSGL;
15-8-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,62;mg/l;-100;WATSGL;
29-8-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,86;mg/l;-100;WATSGL;
12-9-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,77;mg/l;-100;WATSGL;
26-9-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,00;mg/l;-100;WATSGL;
10-10-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,76;mg/l;-100;WATSGL;
24-10-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,81;mg/l;-100;WATSGL;
7-11-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,38;mg/l;-100;WATSGL;
21-11-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,34;mg/l;-100;WATSGL;
5-12-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,33;mg/l;-100;WATSGL;
19-12-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,81;mg/l;-100;WATSGL;
2-1-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,74;mg/l;-100;WATSGL;
16-1-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,91;mg/l;-100;WATSGL;
30-1-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,34;mg/l;-100;WATSGL;
13-2-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,31;mg/l;-100;WATSGL;
27-2-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,43;mg/l;-100;WATSGL;
12-3-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,45;mg/l;-100;WATSGL;
26-3-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,28;mg/l;-100;WATSGL;
9-4-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,02;mg/l;-100;WATSGL;
23-4-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,89;mg/l;-100;WATSGL;
7-5-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,30;mg/l;-100;WATSGL;
21-5-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,07;mg/l;-100;WATSGL;
4-6-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,48;mg/l;-100;WATSGL;
18-6-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,03;mg/l;-100;WATSGL;
2-7-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,63;mg/l;-100;WATSGL;
16-7-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,77;mg/l;-100;WATSGL;
30-7-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,68;mg/l;-100;WATSGL;
13-8-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,99;mg/l;-100;WATSGL;
27-8-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,70;mg/l;-100;WATSGL;
10-9-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,84;mg/l;-100;WATSGL;
24-9-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,71;mg/l;-100;WATSGL;
8-10-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,37;mg/l;-100;WATSGL;
22-10-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,18;mg/l;-100;WATSGL;
