Datum;Tijd;Parameter;Locatie;Meting;Eenheid;Bemonsteringshoogte;Referentievlak;
5-11-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,26;mg/l;-100;WATSGL;
19-11-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,39;mg/l;-100;WATSGL;
3-12-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,48;mg/l;-100;WATSGL;
17-12-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,93;mg/l;-100;WATSGL;
30-12-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,98;mg/l;-100;WATSGL;
14-1-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,99;mg/l;-100;WATSGL;
28-1-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,36;mg/l;-100;WATSGL;
11-2-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,58;mg/l;-100;WATSGL;
25-2-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,73;mg/l;-100;WATSGL;
11-3-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,38;mg/l;-100;WATSGL;
25-3-2009;07:50:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,03;mg/l;-100;WATSGL;
8-4-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,55;mg/l;-100;WATSGL;
22-4-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,26;mg/l;-100;WATSGL;
6-5-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,12;mg/l;-100;WATSGL;
20-5-2009;07:50:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,51;mg/l;-100;WATSGL;
3-6-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,80;mg/l;-100;WATSGL;
17-6-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,79;mg/l;-100;WATSGL;
1-7-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,55;mg/l;-100;WATSGL;
15-7-2009;08:15:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,62;mg/l;-100;WATSGL;
29-7-2009;07:30:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,50;mg/l;-100;WATSGL;
12-8-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,39;mg/l;-100;WATSGL;
26-8-2009;07:30:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,53;mg/l;-100;WATSGL;
9-9-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,16;mg/l;-100;WATSGL;
23-9-2009;07:30:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,98;mg/l;-100;WATSGL;
7-10-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,11;mg/l;-100;WATSGL;
21-10-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,32;mg/l;-100;WATSGL;
4-11-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,24;mg/l;-100;WATSGL;
18-11-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,41;mg/l;-100;WATSGL;
2-12-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,21;mg/l;-100;WATSGL;
16-12-2009;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,65;mg/l;-100;WATSGL;
30-12-2009;08:15:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,25;mg/l;-100;WATSGL;
13-1-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,99;mg/l;-100;WATSGL;
27-1-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,22;mg/l;-100;WATSGL;
10-2-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,82;mg/l;-100;WATSGL;
24-2-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,52;mg/l;-100;WATSGL;
10-3-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,30;mg/l;-100;WATSGL;
24-3-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,48;mg/l;-100;WATSGL;
7-4-2010;07:45:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,81;mg/l;-100;WATSGL;
21-4-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,46;mg/l;-100;WATSGL;
6-5-2010;07:30:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,15;mg/l;-100;WATSGL;
19-5-2010;07:45:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,29;mg/l;-100;WATSGL;
2-6-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,20;mg/l;-100;WATSGL;
16-6-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,85;mg/l;-100;WATSGL;
30-6-2010;07:50:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,57;mg/l;-100;WATSGL;
14-7-2010;07:30:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,53;mg/l;-100;WATSGL;
28-7-2010;07:45:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,04;mg/l;-100;WATSGL;
11-8-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,44;mg/l;-100;WATSGL;
25-8-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,63;mg/l;-100;WATSGL;
8-9-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,88;mg/l;-100;WATSGL;
22-9-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,87;mg/l;-100;WATSGL;
6-10-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,94;mg/l;-100;WATSGL;
20-10-2010;07:45:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,16;mg/l;-100;WATSGL;
3-11-2010;07:50:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,26;mg/l;-100;WATSGL;
17-11-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,41;mg/l;-100;WATSGL;
1-12-2010;07:55:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,86;mg/l;-100;WATSGL;
15-12-2010;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,15;mg/l;-100;WATSGL;
29-12-2010;07:55:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,05;mg/l;-100;WATSGL;
12-1-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,90;mg/l;-100;WATSGL;
26-1-2011;08:01:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,31;mg/l;-100;WATSGL;
9-2-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,43;mg/l;-100;WATSGL;
23-2-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,69;mg/l;-100;WATSGL;
9-3-2011;07:35:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,84;mg/l;-100;WATSGL;
23-3-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,14;mg/l;-100;WATSGL;
6-4-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,04;mg/l;-100;WATSGL;
20-4-2011;07:45:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,78;mg/l;-100;WATSGL;
3-5-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,24;mg/l;-100;WATSGL;
18-5-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,83;mg/l;-100;WATSGL;
31-5-2011;07:45:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,20;mg/l;-100;WATSGL;
15-6-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,82;mg/l;-100;WATSGL;
29-6-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,49;mg/l;-100;WATSGL;
13-7-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,40;mg/l;-100;WATSGL;
27-7-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,78;mg/l;-100;WATSGL;
10-8-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,69;mg/l;-100;WATSGL;
24-8-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,98;mg/l;-100;WATSGL;
7-9-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,56;mg/l;-100;WATSGL;
21-9-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,87;mg/l;-100;WATSGL;
5-10-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,75;mg/l;-100;WATSGL;
19-10-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,72;mg/l;-100;WATSGL;
2-11-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,82;mg/l;-100;WATSGL;
16-11-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,49;mg/l;-100;WATSGL;
30-11-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,43;mg/l;-100;WATSGL;
14-12-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,65;mg/l;-100;WATSGL;
28-12-2011;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,98;mg/l;-100;WATSGL;
11-1-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,00;mg/l;-100;WATSGL;
25-1-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,24;mg/l;-100;WATSGL;
8-2-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,01;mg/l;-100;WATSGL;
22-2-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,17;mg/l;-100;WATSGL;
7-3-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,28;mg/l;-100;WATSGL;
21-3-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,44;mg/l;-100;WATSGL;
4-4-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,16;mg/l;-100;WATSGL;
18-4-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,94;mg/l;-100;WATSGL;
2-5-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,11;mg/l;-100;WATSGL;
15-5-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,67;mg/l;-100;WATSGL;
30-5-2012;07:30:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,38;mg/l;-100;WATSGL;
13-6-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,61;mg/l;-100;WATSGL;
27-6-2012;07:30:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,46;mg/l;-100;WATSGL;
11-7-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,55;mg/l;-100;WATSGL;
25-7-2012;07:45:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,56;mg/l;-100;WATSGL;
8-8-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,02;mg/l;-100;WATSGL;
22-8-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,50;mg/l;-100;WATSGL;
5-9-2012;07:45:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,53;mg/l;-100;WATSGL;
19-9-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,61;mg/l;-100;WATSGL;
3-10-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,63;mg/l;-100;WATSGL;
17-10-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,78;mg/l;-100;WATSGL;
31-10-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,93;mg/l;-100;WATSGL;
14-11-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,49;mg/l;-100;WATSGL;
28-11-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,46;mg/l;-100;WATSGL;
12-12-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,74;mg/l;-100;WATSGL;
27-12-2012;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,14;mg/l;-100;WATSGL;
9-1-2013;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,07;mg/l;-100;WATSGL;
23-1-2013;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,07;mg/l;-100;WATSGL;
6-2-2013;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,29;mg/l;-100;WATSGL;
20-2-2013;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,02;mg/l;-100;WATSGL;
6-3-2013;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,39;mg/l;-100;WATSGL;
20-3-2013;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,00;mg/l;-100;WATSGL;
3-4-2013;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,08;mg/l;-100;WATSGL;
17-4-2013;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,72;mg/l;-100;WATSGL;
1-5-2013;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,46;mg/l;-100;WATSGL;
15-5-2013;07:45:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,11;mg/l;-100;WATSGL;
